tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-05-02,15277,1231709,1247903,917,2,136,-48,-2,88,-50,0.012242137409718544,0.9870230298348509,80.62505727564313
2022-05-03,15278,1231833,1247943,832,1,124,-85,0,40,-85,0.012242546334247638,0.987090756548977,80.62789632150805
2022-05-04,15280,1231950,1248005,775,2,117,-36,-21,62,-57,0.012243540690942745,0.9871354682072588,80.625
2022-05-05,15281,1232106,1248091,704,1,156,-77,6,86,-71,0.012243498270558798,0.9871924402948182,80.6299325960343
2022-05-06,15282,1232228,1248180,670,1,122,-34,0,89,-34,0.01224342642888045,0.987219792017177,80.63263970684466
2022-05-07,15283,1232328,1248242,631,1,100,-38,-1,62,-39,0.012243619426361235,0.9872508696230379,80.63390695544068
2022-05-08,15284,1232444,1248320,592,1,116,-30,-9,78,-39,0.012243655472955653,0.9872821071520123,80.63622088458519
2022-05-09,15285,1232527,1248422,610,1,83,11,7,102,18,0.01224345613902991,0.987267927031084,80.6363755315669
2022-05-10,15287,1232618,1248572,667,2,91,71,-14,150,57,0.012243587073873193,0.9872222026443008,80.63177863544188
2022-05-11,15288,1232696,1248701,717,1,78,59,-9,129,50,0.012243123053477174,0.9871826802413067,80.63160648874934
2022-05-12,15290,1232729,1248801,782,2,33,65,0,100,65,0.012243744199436099,0.9871300551488988,80.62321778940483
2022-05-13,15291,1232772,1248902,839,1,43,50,7,101,57,0.012243554738482283,0.9870846551610934,80.62075730822052
2022-05-14,15292,1232867,1249016,857,1,95,12,6,114,18,0.01224323787685666,0.9870706219936334,80.62169761967041
2022-05-15,15293,1232939,1249109,877,1,72,10,10,93,20,0.012243126900854929,0.9870547726419392,80.62113385208919
2022-05-16,15293,1233010,1249179,876,0,71,15,-16,70,-1,0.01224244083514052,0.9870562985769054,80.62577649905185
2022-05-17,15293,1233102,1249254,859,0,92,-31,14,75,-17,0.012241705850051311,0.9870706837840824,80.63179232328517
2022-05-18,15294,1233206,1249367,867,1,104,0,8,113,8,0.012241399044476122,0.9870646495385264,80.63332025630966
2022-05-19,15294,1233387,1249457,776,0,181,-81,-10,90,-91,0.012240517280706738,0.9871384129265753,80.64515496273049
2022-05-20,15294,1233494,1249539,751,0,107,-25,0,82,-25,0.012239714006525607,0.9871592643366873,80.65215117039362
2022-05-21,15294,1233575,1249632,763,0,81,17,-5,93,12,0.01223880310363371,0.9871506171416865,80.65744736497973
