tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-11-10,15666,1434483,1466932,16783,0.01067943163009601,0.9778796835845152,91.56664113366526
2022-11-11,15671,1436280,1469515,17564,0.010664062632909498,0.9773836946203339,91.6520962287027
2022-11-12,15677,1438276,1472026,18073,0.010649947759074907,0.9770724158404811,91.74433884033935
2022-11-13,15685,1440197,1474287,18405,0.010639041109363374,0.9768769581499396,91.82001912655403
2022-11-14,15693,1442034,1476058,18331,0.010631696044464378,0.9769494152668797,91.89026954693175
2022-11-15,15697,1443377,1478990,19916,0.010613323957565635,0.9759207296871514,91.95241128878129
2022-11-16,15703,1444781,1482658,22174,0.01059111406676388,0.9744533129015592,92.00668662039101
2022-11-17,15708,1447368,1486132,23056,0.010569720590095632,0.9739161797202402,92.14209320091673
2022-11-18,15715,1450159,1488930,23056,0.01055455931440699,0.9739604951206571,92.27865097041044
2022-11-19,15720,1452614,1491558,23224,0.010539315266318842,0.9738903884394706,92.40547073791349
2022-11-20,15727,1455008,1493931,23196,0.010527259960466715,0.973945918519664,92.51656387104978
2022-11-21,15736,1457416,1495720,22568,0.010520685689834997,0.9743909287834621,92.61667513980682
2022-11-22,15750,1459200,1498564,23614,0.010510061632336023,0.9737321862796651,92.64761904761905
2022-11-23,15757,1460904,1501582,24921,0.010493599417148048,0.9729099043542078,92.71460303357237
2022-11-24,15766,1464960,1504600,23874,0.010478532500332314,0.9736541273428153,92.91893949004186
2022-11-25,15770,1468483,1507150,22897,0.010463457519158677,0.9743442922071459,93.11876981610654
2022-11-26,15775,1471963,1509385,21647,0.0104512765132819,0.9752071207809804,93.30985736925516
2022-11-27,15782,1474496,1511229,20951,0.01044315586850173,0.9756932933393946,93.4289697123305
2022-11-28,15789,1477170,1512525,19566,0.010438835721723608,0.976625179749095,93.55690670720122
2022-11-29,15795,1478983,1514545,19767,0.010428874678533817,0.9765196808282356,93.63615068059512
2022-11-30,15801,1480792,1516900,20307,0.010416639198365087,0.9761961895972048,93.71508132396684
2022-12-01,15810,1484243,1518857,18804,0.010409143191228667,0.977210494470513,93.88001265022137
2022-12-02,15817,1486667,1520501,18017,0.01040249233640754,0.9777481238091918,93.99171777201745
2022-12-03,15818,1489541,1521942,16583,0.010393300138901482,0.9787107524465453,94.1674674421545
2022-12-04,15822,1492385,1522998,14791,0.010388720142771035,0.9798995139849166,94.32341044115788
2022-12-05,15830,1494565,1523802,13407,0.010388488793163416,0.9808131240147998,94.41345546430827
2022-12-06,15834,1495989,1525050,13227,0.01038261040621619,0.9809442313366775,94.47953770367563
2022-12-07,15838,1497279,1526330,13213,0.01037652408063787,0.9809667634128924,94.53712589973482
2022-12-08,15840,1499798,1527368,11730,0.01037078163219342,0.9819493403030572,94.68421717171717
2022-12-09,15848,1501566,1528186,10772,0.010370465375288086,0.9825806544491312,94.7479808177688
